feature,context,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cont_chronological_age,Issue_Position_Taxonomy > Defense_And_National_Security > Alliance_Commitment_Support,-0.1055868472449201,0.5960697960713472,-0.1771383954376406,0.8597615881097634,500,100,0.9618713658876274,Chronological Age,Demographics: Age
profile_cat__profile_cat_sex_Female,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-0.31881586977991894,0.6557150145664775,-0.4862110256705077,0.6278920855136761,500,100,0.8876938960564309,Sex Female,Demographics: Sex
profile_cat__profile_cat_sex_Male,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-0.8890486653787603,0.6915001655690297,-1.28568105930556,0.20155361615842665,500,100,0.4265436993120192,Sex Male,Demographics: Sex
profile_cat__profile_cat_sex_Other,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,1.1738333333333335,0.7112622323495669,1.6503524016110347,0.10204006884178746,500,100,0.2609939435612711,Sex Other,Demographics: Sex
profile_cont_big_five_agreeableness_altruism_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.5993951934558879,0.6231018439181062,-2.566827893492954,0.011760184372674221,500,100,0.06979413769000135,Big Five Agreeableness Altruism %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_compliance_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.5020830691025666,0.6477972790667561,-2.318754829082534,0.022464517914363297,500,100,0.1005379244364128,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_mean_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.6942040113315782,0.636635481428622,-2.661183771174287,0.009086187745113081,500,100,0.06360331421579157,Big Five Agreeableness Mean %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_modesty_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.5397007826345457,0.6495962501316018,-2.370242719724163,0.019714186196686922,500,100,0.09610665770884874,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_straightforwardness_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.857877714718116,0.6529177003259271,-2.8455006102464218,0.0053896368872692595,500,100,0.043275613830132585,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_tender_mindedness_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.417925767241821,0.6357233862207984,-2.2304130978584915,0.02797778000128192,500,100,0.11750667600538407,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_trust_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,-1.8415883894098106,0.602944137492132,-3.0543267193369834,0.0028980042670189833,500,100,0.028255541603435085,Big Five Agreeableness Trust %,Big Five: Agreeableness
profile_cont_big_five_conscientiousness_achievement_striving_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,0.15980145184146602,0.6853711172618345,0.23316047002374124,0.8161182020067036,500,100,0.9513668732432107,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_competence_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,0.12311659206706317,0.6652300814949337,0.18507369929873024,0.8535498551614042,500,100,0.9618713658876274,Big Five Conscientiousness Competence %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_deliberation_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,0.019286255986405872,0.6633977814908744,0.029071933196796757,0.9768657460471426,500,100,0.9849312623803872,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_dutifulness_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,0.2438562817606192,0.6605172083446046,0.36918989949069525,0.7127746304116649,500,100,0.9282744267951798,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_mean_pct,Issue_Position_Taxonomy > Democratic_Resilience_And_Institutions > Trust_In_Electoral_Process,0.22834518070207338,0.6743496788762794,0.33861539176912264,0.7356166011759376,500,100,0.9340620098652603,Big Five Conscientiousness Mean %,Big Five: Conscientiousness
