profile_a,profile_b,feature_distance,moderation_distance
profile_0052,profile_0076,8.707943006419143,127.96093153771584
profile_0052,profile_0096,9.329816453242708,107.13076122197583
profile_0052,profile_0111,11.482965044554126,118.58752042268192
profile_0052,profile_0131,10.038974892881267,111.30139262381222
profile_0052,profile_0143,5.597779070633947,102.20567498920987
profile_0052,profile_0144,11.326075713273566,106.5269918846862
profile_0052,profile_0148,6.368709687491655,104.12012293500234
profile_0052,profile_0165,9.469347621433007,104.64702575802143
profile_0052,profile_0167,6.265152712439535,95.31526635329726
profile_0052,profile_0172,5.4743116287318125,108.40664186294121
profile_0052,profile_0176,9.60431155935114,102.59629622944485
profile_0052,profile_0186,8.799419502714414,106.27323275406654
profile_0052,profile_0204,10.978997798168395,127.21635115031401
profile_0052,profile_0217,5.312839208513327,114.98695578194946
profile_0052,profile_0219,8.563090114489063,120.31209415515964
profile_0052,profile_0233,9.554835349835791,121.49074038789952
profile_0052,profile_0248,11.587275640412257,126.99606293110035
profile_0052,profile_0253,8.983391441746406,113.65737987477979
profile_0052,profile_0269,11.381803694178576,131.232617896619
profile_0052,profile_0272,6.838865881482637,115.84040745784694
profile_0052,profile_0280,11.266431791488692,134.08952233489387
profile_0052,profile_0287,8.903361292575324,104.75208828467335
profile_0052,profile_0293,9.460514347868138,121.15692303785202
profile_0052,profile_0295,11.954888460131551,114.61675270221191
profile_0052,profile_0297,5.667625933620705,104.90948479522717
profile_0052,profile_0307,8.688194751414557,114.30223094935637
profile_0052,profile_0308,8.671601222093292,114.4333867365639
profile_0052,profile_0325,12.50211582595995,146.31472926537506
profile_0052,profile_0345,6.919206742952865,96.72641831474998
profile_0052,profile_0353,10.581372833215221,108.18964830333815
profile_0052,profile_0355,9.386995906345435,97.63196197967139
profile_0052,profile_0360,7.769428471879757,119.57842614786331
profile_0052,profile_0364,11.289273961148137,101.92644406629714
profile_0052,profile_0368,7.5224817735668985,103.95672176439578
profile_0052,profile_0372,8.273199440857328,97.04122835166504
profile_0052,profile_0390,8.94788847321301,97.05153270299239
profile_0052,profile_0391,8.37971605481871,119.14696806885183
profile_0052,profile_0393,7.990121864661129,85.06468127254695
profile_0052,profile_0395,9.356702881841022,113.70576062803502
profile_0052,profile_0397,10.205816514405429,118.45674315968678
profile_0052,profile_0416,7.898744136958249,113.49008767288886
profile_0052,profile_0424,8.066658698030972,120.43255373859678
profile_0052,profile_0427,6.083260347352207,103.0
profile_0052,profile_0433,5.81344335445209,110.51696702316798
profile_0052,profile_0445,7.6245740238482895,142.12670403551894
profile_0052,profile_0458,8.137696822338055,113.73653766490345
profile_0052,profile_0466,8.23832717082837,96.02083107326243
profile_0052,profile_0472,7.767348998152775,120.97520407091694
profile_0052,profile_0475,9.134262941362481,105.77806956075536
profile_0052,profile_0486,7.8400698077985504,97.91833331914918
profile_0052,profile_0503,10.543919912987656,103.91342550411858
profile_0052,profile_0509,7.9991470441239345,110.9414259868693
profile_0052,profile_0519,10.789462689935798,98.18859404228171
profile_0052,profile_0521,7.0375735425913515,106.92053123698928
profile_0052,profile_0533,7.646154305735836,138.7515765676196
profile_0052,profile_0535,6.899018765948283,124.55520864259351
profile_0052,profile_0542,9.753114538352726,134.06341782902598
profile_0052,profile_0560,10.817448325069867,115.92670097954138
profile_0052,profile_0579,9.905131919980272,133.29666162361306
profile_0052,profile_0585,10.563396636086203,116.24543001770004
profile_0052,profile_0590,9.709683864407225,101.77917272212424
profile_0052,profile_0596,10.599725808317565,103.23759005323593
profile_0052,profile_0608,8.656028756041463,157.05413079572278
profile_0052,profile_0610,7.20934241801156,93.30594836343501
profile_0052,profile_0613,9.079880231816576,120.6855418018248
profile_0052,profile_0618,10.466460020579559,111.26994203287786
profile_0052,profile_0633,11.303432007364814,106.76141625137801
profile_0052,profile_0641,9.827412910828128,133.76098085764772
profile_0052,profile_0645,11.769776851586883,152.2136656151477
profile_0052,profile_0649,8.647065749279307,122.14745187681976
profile_0052,profile_0657,5.169554263896408,81.84741901856161
profile_0052,profile_0663,9.602101801770463,145.3581783044903
profile_0052,profile_0669,8.188225595885886,129.79599377484652
profile_0052,profile_0673,9.538307104092985,101.02474944289642
profile_0052,profile_0688,8.346233859516252,90.79647570252934
profile_0052,profile_0694,5.6083599679021585,124.64349160706307
profile_0052,profile_0711,10.676047805121422,138.94603268895446
profile_0052,profile_0716,7.108303270977781,92.96773633901172
profile_0052,profile_0717,7.87174056008432,98.50888284819801
profile_0052,profile_0718,9.09008942267753,144.20124826089406
profile_0052,profile_0726,9.230348058794881,146.972786596703
profile_0052,profile_0745,9.502502748576504,120.66068125118473
profile_0052,profile_0747,5.768344043031249,116.51180197731044
profile_0052,profile_0749,8.582381472585451,112.01785571952357
profile_0052,profile_0753,10.430673905078507,139.30900904105232
profile_0052,profile_0754,6.596775531802969,98.93432164825309
profile_0052,profile_0760,10.105387955525005,122.37238250520417
profile_0052,profile_0775,5.351539914210178,118.25396399275586
